incikey,inci_id,nibrs,offense,date_occu,hour_occu,date_rept,hour_rept,streetmasked,street,reportedas,geoy,geox,category,OBJECTID,x,y
15988,2024002645,90Z,FLEE OR ATTEMPT TO ELUDE PEACE OFFICER                      ,2024-03-20,2252,2024-03-20,2252,500-BLK of,MAPLE AV/SPRING BAY DR,TRAFFIC STOP,41.786567585909,-88.059477097383,Other Criminal Offenses,2494,-9802736.15000261,5129061.72738887
15989,2024003038,13B,DOMESTIC BATTERY                                            ,2024-04-01,0414,2024-04-01,0414,100-BLK of,N BRAINARD ST,DOMESTIC  VERBA,41.777102851572,-88.143574539126,Assault/Battery,2495,-9812097.83439446,5127648.79003134
15990,2024002952,90Z,EXPLOITATION OF A CHILD                                     ,2024-02-26,0646,2024-03-29,1518,1300-BLK of,AURORA AV,INFORMATION FOR,41.766259514148,-88.177390524246,Other Criminal Offenses,2496,-9815862.21263869,5126030.30497946
15991,2024003087,250,FORGERY                                                     ,2024-04-02,0927,2024-04-02,0927,900-BLK of,W 75TH ST,FRAUD IN PROGRE,41.747568654723,-88.165043019946,Deception,2497,-9814487.69474745,5123241.13462322
15992,2024002913,26F,IDENTITY THEFT                                              ,2024-03-28,0000,2024-03-28,1653,3000-BLK of,BROSSMAN ST,FRAUD,41.707769301927,-88.182130424741,Theft,2498,-9816389.85594821,5117304.7231063
15993,2024003108,99C7,ASSIST OTHER COUNTY AGENCY                                  ,2024-04-02,2001,2024-04-02,2001,700-BLK of,CHESTERFIELD AV,ASSIST OTHER AG,41.764583052538,-88.113983247419,Non-Criminal Offenses,2499,-9808803.74686972,5125780.0994209
15994,2024002929,99O5,IMPROPER LANE USAGE                                         ,2024-03-28,2249,2024-03-28,2249,100-BLK of,BOOK RD/104TH ST,DRIVING COMPLAI,41.693951924958,-88.176169667768,Traffic,2500,-9815726.30751723,5115244.6034934
15995,2024002929,90D,DRIVING UNDER THE INFLUENCE - ALCOHOL                       ,2024-03-28,2249,2024-03-28,2249,100-BLK of,BOOK RD/104TH ST,DRIVING COMPLAI,41.693951924958,-88.176169667768,Alcohol,2501,-9815726.30751723,5115244.6034934
15997,2024002869,26A,FRAUD                                                       ,2024-02-07,0000,2024-03-27,1423,1000-BLK of,PRAIRIE VIEW CT,FRAUD,41.786771987421,-88.213282505134,Theft,2502,-9819857.68967471,5129092.24365044
16011,9024000234,99I4,NEIGHBORHOOD TROUBLE,2024-03-24,1845,2024-03-24,2131,5500-BLK of,KANLOW DR,NEIGHBORHOOD TR,41.670880126843,-88.201734907133,Non-Criminal Offenses,2503,-9818572.21694535,5111805.6702072
16012,2024002716,26A,COMPUTER FRAUD                                              ,2024-03-21,1800,2024-03-22,1844,2600-BLK of,PARTLOW DR,FRAUD,41.698510704118,-88.198934367621,Theft,2504,-9818260.46231293,5115924.25161402
16013,2024002452,13B,DOMESTIC BATTERY                                            ,2024-03-15,0101,2024-03-15,0101,900-BLK of,FAIRWAY DR,DOMESTIC  PHYSI,41.786169985699,-88.214498854296,Assault/Battery,2505,-9819993.09304405,5129002.36767607
16014,2024002452,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-03-15,0101,2024-03-15,0101,900-BLK of,FAIRWAY DR,DOMESTIC  PHYSI,41.786169985699,-88.214498854296,Other Criminal Offenses,2506,-9819993.09304405,5129002.36767607
16016,2024002762,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-03-24,0951,2024-03-24,0951,,PLANK RD/SPRINGHILL CR,TRAFFIC STOP,41.783251527883,-88.122997384103,Other Criminal Offenses,2507,-9809807.19597532,5128566.66786137
16017,2024002545,35A,POSSESSION OF CONTROLLED SUBSTANCE                          ,2024-03-18,0209,2024-03-18,0209,1800-BLK of,N NAPER BL,UNWANTED SUBJEC,41.802827992571,-88.119843804701,Drug Offenses and Narcotics,2508,-9809456.14112212,5131489.63983202
16018,2024002545,99I8,UNWANTED SUBJECT                                            ,2024-03-18,0209,2024-03-18,0209,1800-BLK of,N NAPER BL,UNWANTED SUBJEC,41.802827992571,-88.119843804701,Non-Criminal Offenses,2509,-9809456.14112212,5131489.63983202
16020,2024002807,99D8,INFORMATION FOR POLICE                                      ,2024-03-24,1100,2024-03-25,1929,3900-BLK of,LANDSDOWN AV,INFORMATION FOR,41.698851664327,-88.224573788306,Non-Criminal Offenses,2510,-9821114.62956781,5115975.08579232
16021,2024002557,99D8,INFORMATION FOR POLICE                                      ,2024-03-18,1148,2024-03-18,1148,1000-BLK of,PLUM HOLLOW CT,TELEPHONE HARAS,41.785616038887,-88.168380551973,Non-Criminal Offenses,2511,-9814859.2271132,5128919.6668152
16022,2024002697,99D8,INFORMATION FOR POLICE                                      ,2024-03-22,0830,2024-03-22,0830,100-BLK of,OLESEN DR,INFORMATION FOR,41.773710249352,-88.119850479122,Non-Criminal Offenses,2512,-9809456.88411526,5127142.37815201
16023,2024002624,290,CRIMINAL DAMAGE TO PROPERTY                                 ,2024-03-19,1630,2024-03-20,1208,200-BLK of,HAMPSHIRE CT,CRIMINAL DAMAGE,41.726243047007,-88.134026733222,Criminal Damage and Trespass,2513,-9811034.97750303,5120059.78177167
16025,2024002653,99L0,LOST/FOUND ANIMAL                                           ,2024-03-21,1027,2024-03-21,1027,1600-BLK of,COUNTRY LAKES DR,ANIMAL CALL,41.798655410157,-88.20936456145,Non-Criminal Offenses,2514,-9819421.54617885,5130866.55454648
16026,2024002890,26A,FRAUD                                                       ,2024-03-27,2131,2024-03-27,2131,1300-BLK of,HAVERHILL CR,FRAUD,41.785677064641,-88.121376945246,Theft,2515,-9809626.8095469,5128928.77755089
16027,2024002436,26A,CREDIT CARD FRAUD                                           ,2024-03-14,1347,2024-03-14,1347,2100-BLK of,FERRY RD,"SUSPICIOUS VEH,",41.810352179134,-88.21239593567,Theft,2516,-9819758.99721342,5132613.31754878
16028,2024002857,90D,DRIVING UNDER THE INFLUENCE - DRUGS                         ,2024-03-27,1057,2024-03-27,1057,3000-BLK of,BROSSMAN ST,UNWANTED SUBJEC,41.707769301927,-88.182130424741,Alcohol,2517,-9816389.85594821,5117304.7231063
16029,2024002857,90J,CRIMINAL TRESPASS TO RESIDENCE                              ,2024-03-27,1057,2024-03-27,1057,3000-BLK of,BROSSMAN ST,UNWANTED SUBJEC,41.707769301927,-88.182130424741,Criminal Damage and Trespass,2518,-9816389.85594821,5117304.7231063
16030,2024002857,23H,THEFT - ALL OTHER LARCENY                                   ,2024-03-27,1057,2024-03-27,1057,3000-BLK of,BROSSMAN ST,UNWANTED SUBJEC,41.707769301927,-88.182130424741,Theft,2519,-9816389.85594821,5117304.7231063
16032,2024002921,99J7,ANIMAL COMPLAINT                                            ,2024-03-28,1855,2024-03-28,1855,3100-BLK of,SAGANASHKEE LN,DISORDERLY COND,41.701841591681,-88.209578808085,Non-Criminal Offenses,2520,-9819445.39600516,5116420.86929579
16034,2024003200,99A8,HIT AND RUN                                                 ,2024-04-05,1002,2024-04-05,1002,100-BLK of,E BENTON AV,HIT AND RUN  CO,41.775064729898,-88.145643338466,Traffic Crashes,2521,-9812328.13208354,5127344.55751048
16035,2024003253,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-04-07,0111,2024-04-07,0112,,AURORA AV/S EAGLE ST,TRAFFIC STOP,41.770678592907,-88.153053882217,Other Criminal Offenses,2522,-9813153.0700404,5126689.86711331
16069,2024003209,99I9,CIVIL MATTER / MATTER OF RECORD                             ,2024-04-05,1329,2024-04-05,1329,1800-BLK of,W DIEHL RD,CITIZEN ASSIST,41.79898898965,-88.208359427113,Non-Criminal Offenses,2523,-9819309.65513627,5130916.36596473
16070,2024003209,99D8,INFORMATION FOR POLICE                                      ,2024-04-05,1329,2024-04-05,1329,1800-BLK of,W DIEHL RD,CITIZEN ASSIST,41.79898898965,-88.208359427113,Non-Criminal Offenses,2524,-9819309.65513627,5130916.36596473
16073,2024002891,13B,DOMESTIC BATTERY                                            ,2024-03-28,0247,2024-03-28,0247,2100-BLK of,SUNDERLAND CT,WELL BEING CHEC,41.728137752979,-88.134199504131,Assault/Battery,2525,-9811054.21027265,5120342.39114071
16074,2024002775,13C,AGGRAVATED ASSAULT                                          ,2024-03-25,0028,2024-03-25,0028,600-BLK of,MELODY LN,SUBJECT WITH A,41.764598477788,-88.147296349381,Assault/Battery,2526,-9812512.14441687,5125782.40155135
16075,2024002775,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-03-25,0028,2024-03-25,0028,600-BLK of,MELODY LN,SUBJECT WITH A,41.764598477788,-88.147296349381,Other Criminal Offenses,2527,-9812512.14441687,5125782.40155135
16076,2024003211,26F,IDENTITY THEFT                                              ,2024-04-05,1401,2024-04-05,1401,1000-BLK of,N MILL ST,FRAUD,41.787426597912,-88.15452632874,Theft,2528,-9813316.98203756,5129189.97481988
16077,9024000267,26F,IDENTITY THEFT,2024-03-01,1100,2024-04-06,0106,200-BLK of,E BAILEY RD,IDENTITY THEFT,41.740434008645,-88.125065719712,Theft,2529,-9810037.44204211,5122176.67096262
16078,2024003205,99D0,ASSIST FEDERAL LAW ENFORCEMENT                              ,2024-04-05,1307,2024-04-05,1312,1300-BLK of,AURORA AV,ASSIST OTHER AG,41.766259514148,-88.177390524246,Non-Criminal Offenses,2530,-9815862.21263869,5126030.30497946
16079,2024003273,520,AGGRAVATED UNLAWFUL USE OF WEAPON                           ,2024-04-08,0008,2024-04-08,0008,800-BLK of,N BRAINARD ST/E OGDEN AV,TRAFFIC STOP,41.795478303356,-88.12415311957,Weapon Offenses,2531,-9809935.851859,5130392.14930144
16080,2024003273,99M7,LICENSE PLATE VIOLATION                                     ,2024-04-08,0008,2024-04-08,0008,800-BLK of,N BRAINARD ST/E OGDEN AV,TRAFFIC STOP,41.795478303356,-88.12415311957,Traffic,2532,-9809935.851859,5130392.14930144
16081,2024003273,99O5,IMPROPER LANE USAGE                                         ,2024-04-08,0008,2024-04-08,0008,800-BLK of,N BRAINARD ST/E OGDEN AV,TRAFFIC STOP,41.795478303356,-88.12415311957,Traffic,2533,-9809935.851859,5130392.14930144
16082,2024002349,99T3,INVESTIGATION - NON SPECIFIC                                ,2024-03-12,1009,2024-03-12,1009,2800-BLK of,W OGDEN AV,INFORMATION FOR,41.754459944923,-88.202344482652,Non-Criminal Offenses,2534,-9818640.07458172,5124269.40277548
16083,2024003057,13B,SIMPLE BATTERY                                              ,2024-03-13,0830,2024-04-01,1358,1900-BLK of,THREE FARMS AV,BATTERY  COLD,41.749412849252,-88.186794120315,Assault/Battery,2535,-9816909.01616472,5123516.30108677
16084,9024000268,99D8,INFORMATION FOR POLICE,2024-04-08,0600,2024-04-08,0633,100-BLK of,83RD ST/SKYLANE DR,INFORMATION FOR,41.710265915386,-88.194438564218,Non-Criminal Offenses,2536,-9817759.9917674,5117677.00612981
16085,2024003250,35A,POSSESSION OF CANNABIS 30 GRAMS & UNDER                     ,2024-04-06,2247,2024-04-06,2247,200-BLK of,RIVER RD/AURORA AV,TRAFFIC STOP,41.769621683673,-88.153830474325,Drug Offenses and Narcotics,2537,-9813239.51987842,5126532.11577756
16086,2024003250,35B,POSSESSION OF DRUG PARAPHERNALIA                            ,2024-04-06,2247,2024-04-06,2247,200-BLK of,RIVER RD/AURORA AV,TRAFFIC STOP,41.769621683673,-88.153830474325,Drug Offenses and Narcotics,2538,-9813239.51987842,5126532.11577756
16087,2024003250,99P2,LIGHT VIOLATIONS                                            ,2024-04-06,2247,2024-04-06,2247,200-BLK of,RIVER RD/AURORA AV,TRAFFIC STOP,41.769621683673,-88.153830474325,Traffic,2539,-9813239.51987842,5126532.11577756
16089,2024003276,99A8,HIT AND RUN                                                 ,2024-04-08,0824,2024-04-08,0824,2600-BLK of,ROCKPORT LN,HIT AND RUN  CO,41.711285847102,-88.199285548179,Traffic Crashes,2540,-9818299.55555382,5117829.0976148
16090,2024003241,26F,IDENTITY THEFT                                              ,2024-04-05,0911,2024-04-06,1334,1500-BLK of,W JEFFERSON AV,FRAUD,41.769404980018,-88.185388928947,Theft,2541,-9816752.59097716,5126499.77151319
16091,2024003294,90Z,SUSPENDED OR REVOKED DRIVER`S LICENSE                       ,2024-04-08,1503,2024-04-08,1503,1300-BLK of,S NAPER BL,TRAFFIC STOP,41.750292505127,-88.114950593244,Other Criminal Offenses,2542,-9808911.43131438,5123647.55455685
16092,2024003294,99R7,WARRANT / SUMMONS / SUBPOENA                                ,2024-04-08,1503,2024-04-08,1503,1300-BLK of,S NAPER BL,TRAFFIC STOP,41.750292505127,-88.114950593244,Other Criminal Offenses,2543,-9808911.43131438,5123647.55455685
16093,2024003294,99B2,OPERATING UNINSURED MOTOR VEHICLE                           ,2024-04-08,1503,2024-04-08,1503,1300-BLK of,S NAPER BL,TRAFFIC STOP,41.750292505127,-88.114950593244,Traffic,2544,-9808911.43131438,5123647.55455685
16094,2024003294,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-04-08,1503,2024-04-08,1503,1300-BLK of,S NAPER BL,TRAFFIC STOP,41.750292505127,-88.114950593244,Other Criminal Offenses,2545,-9808911.43131438,5123647.55455685
16095,2024003294,99B3,OPERATING MOTOR VEHICLE WITH SUSPENDED REGISTRATION         ,2024-04-08,1503,2024-04-08,1503,1300-BLK of,S NAPER BL,TRAFFIC STOP,41.750292505127,-88.114950593244,Traffic,2546,-9808911.43131438,5123647.55455685
16096,2024003309,520,AGGRAVATED UNLAWFUL USE OF WEAPON                           ,2024-04-08,2105,2024-04-08,2105,3200-BLK of,ODYSSEY CT,"SUSPICIOUS VEH,",41.807664224347,-88.205003089734,Weapon Offenses,2547,-9818936.02936831,5132211.87762235
16097,2024003309,35A,POSSESSION OF CONTROLLED SUBSTANCE                          ,2024-04-08,2105,2024-04-08,2105,3200-BLK of,ODYSSEY CT,"SUSPICIOUS VEH,",41.807664224347,-88.205003089734,Drug Offenses and Narcotics,2548,-9818936.02936831,5132211.87762235
16124,2024002859,99G1,CITIZEN ASSIST                                              ,2024-03-27,1059,2024-03-27,1059,1200-BLK of,RICKERT DR,CUSTOMER MANAGE,41.749621844589,-88.169675333357,Non-Criminal Offenses,2549,-9815003.36151755,5123547.48512214
16125,2024002821,99L0,LOST/FOUND ANIMAL                                           ,2024-03-05,0000,2024-03-26,1006,1300-BLK of,AURORA AV,ANIMAL CALL,41.766259514148,-88.177390524246,Non-Criminal Offenses,2550,-9815862.21263869,5126030.30497946
16126,2024002850,99G1,CITIZEN ASSIST                                              ,2024-03-27,0732,2024-03-27,0732,1400-BLK of,AMBLESIDE CR,"SUSPICIOUS VEH,",41.759655487149,-88.182569590824,Non-Criminal Offenses,2551,-9816438.74369294,5125044.716757
16127,2024002657,99J8,IMPOUNDED ANIMAL                                            ,2024-03-21,1047,2024-03-21,1047,1000-BLK of,E OGDEN AV,ANIMAL CALL,41.791537195539,-88.129537510323,Non-Criminal Offenses,2552,-9810535.23949586,5129803.69618514
16128,2024002657,99J9,SICK / INJURED / DEAD ANIMAL                                ,2024-03-21,1047,2024-03-21,1047,1000-BLK of,E OGDEN AV,ANIMAL CALL,41.791537195539,-88.129537510323,Non-Criminal Offenses,2553,-9810535.23949586,5129803.69618514
16129,2024002877,99A8,HIT AND RUN                                                 ,2024-03-25,1630,2024-03-27,1718,,S WEST ST/AURORA AV,HIT AND RUN  CO,41.766701435473,-88.174719078079,Traffic Crashes,2554,-9815564.8286117,5126096.26115569
16130,2024002877,99Q2,TRAFFIC CRASH NO INJURY                                     ,2024-03-25,1630,2024-03-27,1718,,S WEST ST/AURORA AV,HIT AND RUN  CO,41.766701435473,-88.174719078079,Traffic Crashes,2555,-9815564.8286117,5126096.26115569
16133,2024002909,99F9,CHECK FOR WELL BEING                                        ,2024-03-28,1325,2024-03-28,1325,1700-BLK of,FREEDOM DR,ASSIST OTHER AG,41.802663029041,-88.126215579244,Non-Criminal Offenses,2556,-9810165.44381969,5131465.00531261
16134,2024002909,99D4,ASSIST OTHER LAW ENFORCEMENT                                ,2024-03-28,1325,2024-03-28,1325,1700-BLK of,FREEDOM DR,ASSIST OTHER AG,41.802663029041,-88.126215579244,Non-Criminal Offenses,2557,-9810165.44381969,5131465.00531261
16135,2024002928,99D8,INFORMATION FOR POLICE                                      ,2024-03-28,2235,2024-03-28,2235,2500-BLK of,W 75TH ST,UNWANTED SUBJEC,41.747197298643,-88.198233824367,Non-Criminal Offenses,2558,-9818182.47819461,5123185.72670696
16136,2024002892,99A1,CRIMINAL DAMAGE TO MOBILE VEHICLE                           ,2024-03-28,0323,2024-03-28,0323,300-BLK of,S WHISPERING HILLS DR,CRIMINAL DAMAGE,41.767803353247,-88.181745499721,Criminal Damage and Trespass,2559,-9816347.00629099,5126260.7229122
16137,2024002625,99J1,ACCIDENTAL DAMAGE TO PROPERTY                               ,2024-03-20,0920,2024-03-20,1445,400-BLK of,AURORA AV,CRIMINAL DAMAGE,41.768312301467,-88.156635021527,Non-Criminal Offenses,2560,-9813551.72064485,5126336.68463191
16138,2024002144,99B6,DRIVER AND PASSENGER SAFETY BELTS                           ,2024-03-05,1234,2024-03-05,1234,,DUKE PKWAY/ROUTE 59,TRAFFIC STOP,41.816621357924,-88.215756281206,Traffic,2561,-9820133.06916738,5133549.6705895
16139,2024002144,99O2,FAILURE TO SIGNAL / IMPROPER SIGNAL                         ,2024-03-05,1234,2024-03-05,1234,,DUKE PKWAY/ROUTE 59,TRAFFIC STOP,41.816621357924,-88.215756281206,Traffic,2562,-9820133.06916738,5133549.6705895
16140,2024002144,35A,POSSESSION OF CANNABIS 30 GRAMS & UNDER                     ,2024-03-05,1234,2024-03-05,1234,,DUKE PKWAY/ROUTE 59,TRAFFIC STOP,41.816621357924,-88.215756281206,Drug Offenses and Narcotics,2563,-9820133.06916738,5133549.6705895
16141,2024002144,90Z,"RESIST, OBSTRUCT, DISARM AN OFFICER                         ",2024-03-05,1234,2024-03-05,1234,,DUKE PKWAY/ROUTE 59,TRAFFIC STOP,41.816621357924,-88.215756281206,Other Criminal Offenses,2564,-9820133.06916738,5133549.6705895
16143,2024003061,99D4,ASSIST OTHER LAW ENFORCEMENT                                ,2024-04-01,1449,2024-04-01,1449,200-BLK of,SHUMAN BL,CITIZEN ASSIST,41.803278674323,-88.150664285308,Non-Criminal Offenses,2565,-9812887.06132929,5131556.94186965
16144,9024000253,99D8,INFORMATION FOR POLICE,2024-03-25,0000,2024-04-02,1007,2300-BLK of,OVERLOOK CT,INFORMATION FOR,41.785222377256,-88.219423097323,Non-Criminal Offenses,2566,-9820541.25727035,5128860.89598291
16145,9024000260,99T3,INVESTIGATION - NON SPECIFIC,2024-04-02,1444,2024-04-03,1133,3000-BLK of,BROSSMAN ST,INVESTIGATION -,41.707769301927,-88.182130424741,Non-Criminal Offenses,2567,-9816389.85594821,5117304.7231063
16146,2024003022,99A8,HIT AND RUN                                                 ,2024-03-31,1230,2024-03-31,1230,2900-BLK of,AUDREY AV,HIT AND RUN  CO,41.749417285117,-88.205308190232,Traffic Crashes,2568,-9818969.99300039,5123516.96295776
16147,2024003091,99D8,INFORMATION FOR POLICE                                      ,2024-04-02,0943,2024-04-02,0944,2600-BLK of,W 75TH ST,"SUSPICIOUS VEH,",41.747185999883,-88.198999179087,Non-Criminal Offenses,2569,-9818267.67709232,5123184.04088864
16148,2024002830,26A,FRAUD                                                       ,2024-03-23,0000,2024-03-26,1409,900-BLK of,MONTGOMERY CT,FRAUD,41.752238692474,-88.163464142089,Theft,2570,-9814311.93486838,5123937.95160017
16150,2024002690,23C,THEFT - SHOPLIFTING                                         ,2024-03-21,2246,2024-03-21,2246,2500-BLK of,W 75TH ST,THEFT IN PROGRE,41.747197298643,-88.198233824367,Theft,2571,-9818182.47819461,5123185.72670696
16151,2024003148,13B,DOMESTIC BATTERY                                            ,2024-04-03,1946,2024-04-03,1946,400-BLK of,DILLMAN CT,DOMESTIC  PHYSI,41.779672731179,-88.130991547731,Assault/Battery,2572,-9810697.10219971,5128032.41238791
16153,2024003182,99D8,INFORMATION FOR POLICE                                      ,2024-04-04,1616,2024-04-04,1616,1300-BLK of,AURORA AV,ASSIST OTHER AG,41.766259514148,-88.177390524246,Non-Criminal Offenses,2573,-9815862.21263869,5126030.30497946
16154,2024003182,99D4,ASSIST OTHER LAW ENFORCEMENT                                ,2024-04-04,1616,2024-04-04,1616,1300-BLK of,AURORA AV,ASSIST OTHER AG,41.766259514148,-88.177390524246,Non-Criminal Offenses,2574,-9815862.21263869,5126030.30497946
16155,2024003197,99I8,UNWANTED SUBJECT                                            ,2024-04-05,0748,2024-04-05,0748,100-BLK of,E BAILEY RD,UNWANTED SUBJEC,41.740436252086,-88.125453236571,Non-Criminal Offenses,2575,-9810080.58022153,5122177.0056574
16156,2024003197,99D8,INFORMATION FOR POLICE                                      ,2024-04-05,0748,2024-04-05,0748,100-BLK of,E BAILEY RD,UNWANTED SUBJEC,41.740436252086,-88.125453236571,Non-Criminal Offenses,2576,-9810080.58022153,5122177.0056574
16157,2024003228,99I9,CIVIL MATTER / MATTER OF RECORD                             ,2024-04-05,2024,2024-04-05,2024,1400-BLK of,ROLLING GROVE CT,CITIZEN ASSIST,41.760892693784,-88.178547671098,Non-Criminal Offenses,2577,-9815991.02563703,5125229.35035943
16159,9024000266,99P6,PARKING COMPLAINT,2024-04-07,1200,2024-04-07,1209,2600-BLK of,WINTER PARK DR,PARKING COMPLAI,41.714510751106,-88.159578313085,Traffic,2578,-9813879.36636235,5118310.00886241
16160,2024003264,99I9,CIVIL MATTER / MATTER OF RECORD                             ,2024-04-07,1209,2024-04-07,1209,2200-BLK of,FERRY RD,UNWANTED SUBJEC,41.810351382954,-88.21364413709,Non-Criminal Offenses,2579,-9819897.9463599,5132613.19863861
16161,2024003264,99I8,UNWANTED SUBJECT                                            ,2024-04-07,1209,2024-04-07,1209,2200-BLK of,FERRY RD,UNWANTED SUBJEC,41.810351382954,-88.21364413709,Non-Criminal Offenses,2580,-9819897.9463599,5132613.19863861
16163,2024003206,26A,FRAUD                                                       ,2024-03-07,1716,2024-04-05,1235,2600-BLK of,FORGUE DR,FRAUD,41.716075578943,-88.204888933058,Theft,2581,-9818923.32150527,5118543.37126516
16165,2024003243,99I0,SUSPICIOUS INCIDENT / CIRCUMSTANCES                         ,2024-04-06,1413,2024-04-06,1413,1100-BLK of,AURORA AV,"SUSPICIOUS VEH,",41.767505737016,-88.166914171541,Non-Criminal Offenses,2582,-9814695.9903902,5126216.30326848
16166,2024003213,99I0,SUSPICIOUS INCIDENT / CIRCUMSTANCES                         ,2024-04-05,1430,2024-04-05,1430,700-BLK of,FORT HILL DR,THEFT,41.763892246602,-88.196045693215,Non-Criminal Offenses,2583,-9817938.89654898,5125677.00114804
16168,2024003208,23H,THEFT - ALL OTHER LARCENY                                   ,2024-04-05,1339,2024-04-05,1339,700-BLK of,ROYAL ST GEORGE DR,PROPERTY LOST O,41.783557504529,-88.166601279554,Theft,2584,-9814661.15941353,5128612.3465247
16170,2024003304,99C2,ASSIST CITY FIRE DEPARTMENT                                 ,2024-04-08,1741,2024-04-08,1741,1600-BLK of,IONA CT,ASSIST FIRE DEP,41.736671811007,-88.098901071108,Non-Criminal Offenses,2585,-9807124.80668273,5121615.41216378
16171,2024003307,99B5,NO VALID DRIVER`S LICENSE                                   ,2024-04-08,2102,2024-04-08,2102,,W 75TH ST/MODAFF RD,TRAFFIC STOP,41.750452413953,-88.147635832361,Traffic,2586,-9812549.93548934,5123671.41474906
16172,2024003307,99B2,OPERATING UNINSURED MOTOR VEHICLE                           ,2024-04-08,2102,2024-04-08,2102,,W 75TH ST/MODAFF RD,TRAFFIC STOP,41.750452413953,-88.147635832361,Traffic,2587,-9812549.93548934,5123671.41474906
16173,2024002921,90J,CRIMINAL TRESPASS TO LAND                                   ,2024-03-28,1855,2024-03-28,1855,3100-BLK of,SAGANASHKEE LN,DISORDERLY COND,41.701841591681,-88.209578808085,Criminal Damage and Trespass,2588,-9819445.39600516,5116420.86929579
16174,2024002903,13B,SIMPLE BATTERY                                              ,2024-03-12,1200,2024-03-28,1120,1100-BLK of,MUIRHEAD AV,BATTERY  COLD,41.745659222387,-88.108410087147,Assault/Battery,2589,-9808183.34550613,5122956.24256034
16175,2024002916,99A8,HIT AND RUN                                                 ,2024-03-28,1710,2024-03-28,1710,3100-BLK of,111TH ST,HIT AND RUN  CO,41.680640061394,-88.20665872327,Traffic Crashes,2590,-9819120.33365048,5113260.27257369
16176,2024002916,99R1,TRAFFIC CRASH PRIVATE PROPERTY                              ,2024-03-28,1710,2024-03-28,1710,3100-BLK of,111TH ST,HIT AND RUN  CO,41.680640061394,-88.20665872327,Traffic Crashes,2591,-9819120.33365048,5113260.27257369
16178,9024000243,99K2,LOST PROPERTY,2024-03-26,1638,2024-03-28,2053,700-BLK of,GREENWOOD CR,LOST PROPERTY,41.782451234093,-88.212860433236,Non-Criminal Offenses,2592,-9819810.70484594,5128447.19457568
16181,2024003004,99B6,DRIVER AND PASSENGER SAFETY BELTS                           ,2024-03-30,1820,2024-03-30,1820,1300-BLK of,FIR CT/COTTONWOOD LN,ACCIDENT NO INJ,41.76958477516,-88.177135619775,Traffic,2593,-9815833.83680278,5126526.60696242
16182,2024003004,90Z,CONTRIBUTING TO CRIMINAL DELINQUENCY OF A JUVENILE          ,2024-03-30,1820,2024-03-30,1820,1300-BLK of,FIR CT/COTTONWOOD LN,ACCIDENT NO INJ,41.76958477516,-88.177135619775,Other Criminal Offenses,2594,-9815833.83680278,5126526.60696242
16183,2024003004,99A7,RECKLESS DRIVING                                            ,2024-03-30,1820,2024-03-30,1820,1300-BLK of,FIR CT/COTTONWOOD LN,ACCIDENT NO INJ,41.76958477516,-88.177135619775,Traffic,2595,-9815833.83680278,5126526.60696242
16184,2024003004,99N4,FAILURE TO REDUCE SPEED / TOO FAST FOR CONDITIONS           ,2024-03-30,1820,2024-03-30,1820,1300-BLK of,FIR CT/COTTONWOOD LN,ACCIDENT NO INJ,41.76958477516,-88.177135619775,Traffic,2596,-9815833.83680278,5126526.60696242
16186,2024003050,23H,THEFT - ALL OTHER LARCENY                                   ,2024-03-20,1333,2024-04-01,1036,2800-BLK of,GYPSUM CR,THEFT,41.720296052266,-88.20241657171,Theft,2597,-9818648.09949895,5119172.79777589
16190,2024002753,99A7,RECKLESS DRIVING                                            ,2024-03-23,2128,2024-03-23,2128,4900-BLK of,S ROUTE 59/111TH ST,ACCIDENT WITH I,41.691747265975,-88.205018289505,Traffic,2598,-9818937.72139908,5114915.93796639
16191,2024002753,90Z,ENDANGERING THE LIFE OR HEALTH OF A CHILD - LEFT IN MV      ,2024-03-23,2128,2024-03-23,2128,4900-BLK of,S ROUTE 59/111TH ST,ACCIDENT WITH I,41.691747265975,-88.205018289505,Other Criminal Offenses,2599,-9818937.72139908,5114915.93796639
16194,2024003096,26F,IDENTITY THEFT                                              ,2024-04-01,0837,2024-04-02,1335,2800-BLK of,RUTLAND CR,FRAUD,41.723928344937,-88.203835855304,Theft,2600,-9818806.09342593,5119714.53819712
16195,2024003113,99C7,ASSIST OTHER COUNTY AGENCY                                  ,2024-04-02,2209,2024-04-02,2209,1700-BLK of,IONA AV,ASSIST OTHER AG,41.737694990866,-88.097878521955,Non-Criminal Offenses,2601,-9807010.9770317,5121768.05072978
16196,2024002873,26F,IDENTITY THEFT                                              ,2024-03-24,0000,2024-03-27,1638,2700-BLK of,NORTHMOOR DR,FRAUD,41.713644517802,-88.232135020822,Theft,2602,-9821956.34212127,5118180.83013904
16197,2024003130,99K3,FOUND PROPERTY                                              ,2024-03-20,1200,2024-04-03,1230,600-BLK of,N SLEIGHT ST,PROPERTY LOST O,41.782687209622,-88.140168453515,Non-Criminal Offenses,2603,-9811718.67067865,5128482.42244835
